,EDICAO,UF,MUNICIPIO,INSTITUICAO,CURSO,TURNO,NOTA_CORTE
142,20191,MS,Coxim,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL",ALIMENTOS,Noturno,"536,12"
143,20191,MA,Zé Doca,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",ALIMENTOS,Noturno,"542,88"
144,20191,MA,Codó,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",ALIMENTOS,Integral,"547,72"
145,20191,TO,Paraíso do Tocantins,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",ALIMENTOS,Vespertino,"552,03"
146,20191,SC,Canoinhas,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",ALIMENTOS,Noturno,"552,06"
147,20191,SC,São Miguel do Oeste,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",ALIMENTOS,Noturno,"553,74"
148,20191,PB,Sousa,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",ALIMENTOS,Integral,"559,36"
149,20191,PE,Salgueiro,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO",ALIMENTOS,Matutino,"562,81"
150,20191,SE,São Cristóvão,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",ALIMENTOS,Matutino,"566,76"
151,20191,MA,Bacabal,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",ALIMENTOS,Integral,"568,06"
152,20191,PB,João Pessoa,UNIVERSIDADE FEDERAL DA PARAÍBA,ALIMENTOS,Vespertino,"568,34"
153,20191,PB,João Pessoa,UNIVERSIDADE FEDERAL DA PARAÍBA,ALIMENTOS,Noturno,"568,58"
154,20191,PR,Medianeira,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,ALIMENTOS,Noturno,"569,02"
155,20191,RN,Currais Novos,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",ALIMENTOS,Matutino,"570,72"
156,20191,RS,Santa Maria,UNIVERSIDADE FEDERAL DE SANTA MARIA,ALIMENTOS,Integral,"571,48"
157,20191,RS,Santo Augusto,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",ALIMENTOS,Noturno,"572,94"
158,20191,AL,Maceió,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",ALIMENTOS,Noturno,"576,34"
159,20191,PI,Teresina,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",ALIMENTOS,Vespertino,"577,10"
160,20191,SC,Urupema,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",ALIMENTOS,Integral,"528,66"
161,20191,RS,Bagé,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",ALIMENTOS,Noturno,"532,24"
162,20191,MS,Coxim,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL",ALIMENTOS,Noturno,"536,12"
163,20191,MA,Zé Doca,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",ALIMENTOS,Noturno,"542,88"
164,20191,MA,Codó,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",ALIMENTOS,Integral,"547,72"
165,20191,TO,Paraíso do Tocantins,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",ALIMENTOS,Vespertino,"552,03"
166,20191,SC,Canoinhas,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",ALIMENTOS,Noturno,"552,06"
167,20191,SC,São Miguel do Oeste,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",ALIMENTOS,Noturno,"553,74"
168,20191,PB,Sousa,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",ALIMENTOS,Integral,"559,36"
169,20191,PE,Salgueiro,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO",ALIMENTOS,Matutino,"562,81"
170,20191,SE,São Cristóvão,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",ALIMENTOS,Matutino,"566,76"
171,20191,MA,Bacabal,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",ALIMENTOS,Integral,"568,06"
172,20191,PB,João Pessoa,UNIVERSIDADE FEDERAL DA PARAÍBA,ALIMENTOS,Vespertino,"568,34"
173,20191,PB,João Pessoa,UNIVERSIDADE FEDERAL DA PARAÍBA,ALIMENTOS,Noturno,"568,58"
174,20191,PR,Medianeira,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,ALIMENTOS,Noturno,"569,02"
175,20191,RN,Currais Novos,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",ALIMENTOS,Matutino,"570,72"
176,20191,RS,Santa Maria,UNIVERSIDADE FEDERAL DE SANTA MARIA,ALIMENTOS,Integral,"571,48"
177,20191,RS,Santo Augusto,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",ALIMENTOS,Noturno,"572,94"
178,20191,AL,Maceió,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",ALIMENTOS,Noturno,"576,34"
179,20191,PI,Teresina,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",ALIMENTOS,Vespertino,"577,10"
180,20191,PR,Campo Mourão,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,ALIMENTOS,Noturno,"578,52"
